Year,Suicide
1915,4.031636
1916,3.702076
1917,3.056176
1918,3.280707
1919,2.984728
1920,3.693712
1921,3.226317
1922,2.190349
1923,2.599515
1924,3.080288
1925,2.929672
1926,2.922548
1927,3.234943
1928,2.983081
1929,3.284389
1930,3.806511
1931,3.784579
1932,2.645654
1933,3.092081
1934,3.204859
1935,3.107225
1936,3.466909
1937,2.984404
1938,3.218072
1939,2.82731
1940,3.182049
1941,2.236319
1942,2.033218
1943,1.644804
1944,1.627971
1945,1.677559
1946,2.330828
1947,2.493615
1948,2.257172
1949,2.655517
1950,2.298655
1951,2.600402
1952,3.04523
1953,2.790583
1954,3.227052
1955,2.967479
1956,2.938817
1957,3.277961
1958,3.423985
1959,3.072646
1960,2.754253
1961,2.910431
1962,3.174369
1963,3.068387
1964,3.089543
1965,2.906654
1966,2.931161
1967,3.02566
1968,2.939551
1969,2.691019
1970,3.19812
1971,3.07639
1972,2.863873
1973,3.013802
1974,3.053364
1975,2.864753
1976,3.057062
1977,2.959365
1978,3.252258
1979,3.602988
1980,3.497704
1981,3.296867
1982,3.602417
1983,3.3001
1984,3.40193
1985,3.502591
1986,3.402348
1987,3.498551
1988,3.199823
1989,2.700064
1990,2.801034
1991,2.898628
1992,2.800854
1993,2.399942
1994,2.402724
1995,2.202331
1996,2.102594
1997,1.798293
1998,1.202484
1999,1.400201
2000,1.200832
2001,1.298083
2002,1.099742
2003,1.001377
2004,0.8361743
